algo,train_time (ms)
A2C,770368.384122849
ACKTR,655554.78477478
DDPG,2070871.46186829
PPO1,657502.427101135
PPO2,675220.370531082
SAC,2807756.48903847
TRPO,576579.730033875
TD3,2075681.68830872
