algo,success ratio,average reach time
A2C,0.1485148514851485,39.6
ACKTR,0.9108910891089109,42.72826086956522
DDPG,0.07920792079207921,18.75
PPO1,0.039603960396039604,23.0
PPO2,0.0891089108910891,35.888888888888886
SAC,0.504950495049505,28.58823529411765
TRPO,0.009900990099009901,84.0
TD3,0.32673267326732675,40.63636363636363
