algo,train_time (ms)
A2C,727540.08769989
ACKTR,590014.364004135
DDPG,1960968.44530106
PPO1,588259.181976318
PPO2,610723.148107529
SAC,2720747.23482132
TRPO,515354.842424393
TD3,1997323.67777824
