algo,train_time (ms)
A2C,740288.006067276
ACKTR,626380.737066269
DDPG,2016395.60103416
PPO1,620474.528551102
PPO2,646244.751214981
SAC,2736864.72821236
TRPO,545288.839578629
TD3,2047740.50974846
