algo,train_time (ms)
A2C,868224.056959152
ACKTR,742901.177406311
DDPG,2158782.43803978
PPO1,743128.577470779
PPO2,756415.43507576
SAC,2771248.02160263
TRPO,638074.830770493
TD3,2144115.22507668
