algo,train_time (ms)
A2C,650052.3726940155
ACKTR,538571.6049671173
DDPG,1897727.275133133
PPO1,540484.8408699036
PPO2,574226.781129837
SAC,2964651.815891266
TRPO,467589.555978775
TD3,1945145.2143192291
