algo,train_time (ms)
A2C,805727.391242981
ACKTR,687386.06762886
DDPG,2083913.33150864
PPO1,689370.050430298
PPO2,710862.618923187
SAC,2826878.36003304
TRPO,609617.566823959
TD3,2205594.41232681
